ATL,Atlanta
BOS,Boston
DEN,Denver
DFW,Dallas
DTW,Detroit
EWR,New York City/Newark
FLL,Fort Lauderdale
IAH,Houston
JFK,New York City
LAS,Las Vegas
LAX,Los Angeles
LGA,New York City
MCO,Orlando
MIA,Miami
MSP,Minneappolis
ONT,Ontario
ORD,Chicago
PHL,Philadelphia
PHX,Phoenix
SEA,Seattle
SFO,San Francisco
STL, St. Louis
BWI,Baltimore
TPA,Tampa
SAN,San Diego
SLC,Salt Lake City
IAD,"Washington, D.C."
BNA,Nashville
DAL,Dallas
DCA,"Washington, D.C."
PDX,Portland
TVL,Lake Tahoe
BHM,Birmingham
ANC,Anchorage
JNU,Juneau
FLG,Flagstaff
TUS,Tucson
LIT,Little Rock
BUR,Burbank
FAT,Fresno
LGB,Long Beach
SJC,San Jose
SNA,Santa Ana
COS,Colorado Springs
BDL,Hartford
HNL,Honolulu
BOI,Boise
ICT,Wichita
LEX,Lexington
SDF,Louisville
BTR,Baton Rouge
MSY,New Orleans
SHV,Shreveport
AUG,Augusta
BGR,Bangor
PWM,Portland
HYA,Hyannis
ACK,Nantucket
ORH,Worcester
BTL,Battlecreek
DET,Detroit
FNT,Flint
GRR,Grand Rapids
LAN,Lansing
MBS,Saginaw
DLH,Duluth
RST,Rochester
GPT,Gulfport
JAN,Jackson
MCI,Kansas City
SGF,Springfield
BIL,Billings
LNK,Lincoln
OMA,Omaha
RNO,Reno-Tahoe
MHT,Manchester
ACY,Atlantic City
TTN,Trenton
ABQ,Albuquerque
ALM,Alamogordo
ALB,Albany
BUF,Buffalo
HPN,Westchester
ISP,Islip
SYR,Syracuse
AVL,Asheville
CLT,Charlotte
FAY,Fayetteville
GSO,Greensboro
RDU,Raleigh
INT,Winston-Salem
FAR,Fargo
CAK,Akron
CVG,Cincinnati
CLE,Cleveland
CMH,Columbus
DAY,Dayton
TOL,Toledo
OKC,Oklahoma City
TUL,Tulsa
